,,,,-TARN,,,
32485,81,81001,81470,Aguts,aguts,43.531931328125,1.9231725
32486,81,81002,81200,Aiguefonde,aiguefonde,43.493791098266,2.3213843352601
32487,81,81003,81250,Alban,alban,43.879736732026,2.4539086928105
32488,81,81004,81000,Albi,albi,43.918466289753,2.145517385159
32489,81,81005,81240,Albine,albine,43.448496526946,2.5291617365269
32490,81,81006,81470,Algans,algans,43.59885828125,1.894893046875
32491,81,81007,81140,Alos,alos,44.021407866667,1.8762609333333
32492,81,81008,81190,Almayrac,almayrac,44.098942736842,2.1521984210526
32493,81,81009,81170,Amarens,amarens,44.04386525,1.92111125
32494,81,81010,81430,Ambialet,ambialet,43.927139031339,2.3902062393162
32495,81,81011,81500,Ambres,ambres,43.728213333333,1.8363407843137
32496,81,81012,81140,Andillac,andillac,44.006982592593,1.8946153703704
32497,81,81013,81350,Andouque,andouque,44.007968116279,2.3061756511628
32498,81,81014,81260,Anglès,angles,43.544856339523,2.5831362068966
32499,81,81015,81700,Appelle,appelle,43.580819076923,1.9531349230769
32500,81,81016,81110,Arfons,arfons,43.42459725,2.1868878333333
32501,81,81017,81360,Arifat,arifat,43.773725672269,2.3514237394958
32502,81,81018,81160,Arthès,arthes,43.965467462687,2.2284891044776
32503,81,81019,81340,Assac,assac,43.982278388158,2.4353508552632
32504,81,81020,81600,Aussac,aussac,43.864532,2.036997375
32505,81,81021,81200,Aussillon,aussillon,43.495866044776,2.3515474626866
32506,81,81022,81500,Bannières,bannieres,43.616296153846,1.7558274358974
32507,81,81023,81320,Barre,barre,43.74143462963,2.8160333333333
32508,81,81024,81630,Beauvais-sur-Tescou,beauvais sur tescou,43.894514074074,1.5753638518519
32509,81,81025,81500,Belcastel,belcastel,43.646580909091,1.7485181818182
32510,81,81026,81430,Bellegarde-Marsal,bellegarde marsal,43.915781187215,2.2802073972603
32511,81,81027,81540,Belleserre,belleserre,43.490496388889,2.0606616666667
32512,81,81028,81260,Berlats,berlats,43.703639818182,2.5656781818182
32513,81,81029,81150,Bernac,bernac,43.954448787879,2.0290822727273
32514,81,81030,81700,Bertre,bertre,43.605203863636,1.9454668181818
32515,81,81031,81260,Le Bez,le bez,43.619537020548,2.4553869863014
32516,81,81032,81700,Blan,blan,43.51826966443,2.0244638255034
32517,81,81033,81400,Blaye-les-Mines,blaye les mines,44.032069759036,2.1437296385542
32518,81,81034,81490,Boissezon,boissezon,43.57719002924,2.4062475730994
32519,81,81035,81170,Bournazel,bournazel,44.103132727273,1.9731262626263
32520,81,81036,81660,Bout-du-Pont-de-Larn,bout du pont de larn,43.503849513889,2.4300929861111
32521,81,81037,81260,Brassac,brassac,43.614381117021,2.5083871276596
32522,81,81038,81600,Brens,brens,43.88288261745,1.9268195973154
32523,81,81039,81390,Briatexte,briatexte,43.748400992908,1.9246934751773
32524,81,81040,81440,Brousse,brousse,43.718399285714,2.0628981818182
32525,81,81041,81600,Broze,broze,43.957567575758,1.8888281818182
32526,81,81042,81100,Burlats,burlats,43.634872910448,2.3376087313433
32527,81,81043,81300,Busque,busque,43.7882361,1.9502264
32528,81,81044,81500,Cabanès,cabanes,43.713276019417,1.9502362135922
32529,81,81045,81170,Les Cabannes,les cabannes,44.076576752137,1.9296584615385
32530,81,81046,81600,Cadalen,cadalen,43.840290343643,1.9865493127148
32531,81,81047,81340,Cadix,cadix,43.979148683128,2.4660841563786
