,,,,-TERRITOIRE DE BELFORT,,,
34997,90,90001,90400,Andelnans,andelnans,47.603191410256,6.8581225641026
34998,90,90002,90150,Angeot,angeot,47.694627272727,7.0081090909091
34999,90,90003,90170,Anjoutey,anjoutey,47.699908974359,6.9273313675214
35000,90,90004,90800,Argiésans,argiesans,47.604536025641,6.8219198717949
35001,90,90005,90200,Auxelles-Bas,auxelles bas,47.7279204,6.7811744
35002,90,90006,90200,Auxelles-Haut,auxelles haut,47.747230243902,6.7823151219512
35003,90,90007,90800,Banvillars,banvillars,47.594333064516,6.8116409677419
35004,90,90008,90800,Bavilliers,bavilliers,47.6195705,6.8340443333333
35005,90,90009,90500,Beaucourt,beaucourt,47.487570649351,6.9237409090909
35006,90,90010,90000,Belfort,belfort,47.648731813472,6.8375851295337
35007,90,90011,90400,Bermont,bermont,47.573394788732,6.848393943662
35008,90,90012,90160,Bessoncourt,bessoncourt,47.646447169811,6.9410354716981
35009,90,90013,90150,Bethonvilliers,bethonvilliers,47.681475806452,6.9636596774193
35010,90,90014,90100,Boron,boron,47.555678815789,7.0171731578947
35011,90,90015,90400,Botans,botans,47.595656333333,6.849207
35012,90,90016,90110,Bourg-sous-Châtelet,bourg sous chatelet,47.706395609756,6.9484873170732
35013,90,90017,90140,Bourogne,bourogne,47.562928992248,6.9162509302326
35014,90,90018,90140,Brebotte,brebotte,47.578744421053,6.9699590526316
35015,90,90019,90130,Bretagne,bretagne,47.592683203125,6.9957240625
35016,90,90020,90800,Buc,buc,47.618812340426,6.7890710638298
35017,90,90021,90140,Charmois,charmois,47.578218303571,6.9451038392857
35018,90,90022,90700,Châtenois-les-Forges,chatenois les forges,47.563078360656,6.8403067213115
35019,90,90023,90330,Chaux,chaux,47.712999450549,6.8390225274725
35020,90,90024,90100,Chavanatte,chavanatte,47.58505789916,7.0723949579832
35021,90,90025,90100,Chavannes-les-Grands,chavannes les grands,47.591879473684,7.056410368421
35022,90,90026,90340,Chèvremont,chevremont,47.626601509434,6.933923490566
35023,90,90027,90100,Courcelles,courcelles,47.500085789474,7.0694957894737
35024,90,90028,90100,Courtelevant,courtelevant,47.531938481013,7.0835706329114
35025,90,90029,90300,Cravanche,cravanche,47.652766136364,6.8250145454546
35026,90,90030,90100,Croix,croix,47.446837058824,6.9467573529412
35027,90,90031,90150,Cunelières,cunelieres,47.625247183099,7.0009870422535
35028,90,90032,90400,Danjoutin,danjoutin,47.616693548387,6.8607038709677
35029,90,90033,90100,Delle,delle,47.513895664336,7.0033778321678
35030,90,90034,90160,Denney,denney,47.654468983051,6.9012428813559
35031,90,90035,90400,Dorans,dorans,47.587083571429,6.84120625
35032,90,90036,90150,Eguenigue,eguenigue,47.681770625,6.93547875
35033,90,90037,90300,Éloie,eloie,47.687087761194,6.8697310447761
35034,90,90039,90850,Essert,essert,47.639604722222,6.8038581944444
35035,90,90041,90170,Étueffont,etueffont,47.721365079365,6.9111017460317
35036,90,90042,90350,Évette-Salbert,evette salbert,47.665765339806,6.7991775728155
35037,90,90043,90100,Faverois,faverois,47.527154683544,7.0344612658228
35038,90,90044,90110,Felon,felon,47.708404868421,6.9782494736842
35039,90,90045,90100,Fêche-l'Église,feche l eglise,47.503560227273,6.955705
35040,90,90046,90100,Florimont,florimont,47.540498323699,7.0491497109827
35041,90,90047,90150,Fontaine,fontaine,47.656019504132,7.0044151239669
35042,90,90048,90340,Fontenelle,fontenelle,47.622644576271,6.9572847457627
35043,90,90049,90150,Foussemagne,foussemagne,47.638653591549,7.0017286619718
35044,90,90050,90150,Frais,frais,47.646727272727,6.9861406060606
35045,90,90051,90140,Froidefontaine,froidefontaine,47.569155984848,6.9543357575758
35046,90,90052,90200,Giromagny,giromagny,47.743029298246,6.8199915789474
35047,90,90053,90600,Grandvillars,grandvillars,47.534047099237,6.9744161068702
35048,90,90054,90200,Grosmagny,grosmagny,47.716717526882,6.8822797849462
35049,90,90055,90100,Grosne,grosne,47.572829710145,6.9952773913044
35050,90,90056,90100,Joncherey,joncherey,47.528638652482,7.0042175886525
35051,90,90057,90300,Lachapelle-sous-Chaux,lachapelle sous chaux,47.705149438202,6.8029460674157
35052,90,90058,90360,Lachapelle-sous-Rougemont,lachapelle sous rougemont,47.713532307692,7.0120365384615
35053,90,90059,90150,Lacollonge,lacollonge,47.664666470588,6.9568776470588
35054,90,90060,90150,Lagrange,lagrange,47.685719545455,6.9770404545454
35055,90,90061,90170,Lamadeleine-Val-des-Anges,lamadeleine val des anges,47.762739642857,6.9065916071429
35056,90,90062,90150,Larivière,lariviere,47.677457083333,6.9967694444444
35057,90,90063,90100,Lebetain,lebetain,47.487240227273,6.9735427272727
35058,90,90064,90100,Lepuix-Neuf,lepuix neuf,47.54279375,7.109566118421
35059,90,90065,90200,Lepuix,lepuix,47.786140559441,6.8251827972028
35060,90,90066,90110,Leval,leval,47.730740204082,6.9941920408163
35061,90,90067,90150,Menoncourt,menoncourt,47.681634615385,6.95187
35062,90,90068,90400,Meroux,meroux,47.595034285714,6.9083391836735
35063,90,90069,90120,Méziré,mezire,47.532452692308,6.9220843589744
35064,90,90070,90500,Montbouton,montbouton,47.469172923077,6.9251696923077
35065,90,90071,90130,Montreux-Château,montreux chateau,47.604293735632,6.9937247126437
35066,90,90072,90120,Morvillars,morvillars,47.544571584158,6.9353695049505
35067,90,90073,90400,Moval,moval,47.586418823529,6.8825861764706
35068,90,90074,90340,Novillard,novillard,47.603393360656,6.9636959016394
35069,90,90075,90300,Offemont,offemont,47.662929183673,6.8786618367347
35070,90,90076,90160,Pérouse,perouse,47.637283538462,6.8921029230769
35071,90,90077,90130,Petit-Croix,petit croix,47.620486,6.9704273684211
35072,90,90078,90360,Petitefontaine,petitefontaine,47.723769152542,7.0076827118644
35073,90,90079,90170,Petitmagny,petitmagny,47.721762962963,6.8986625925926
35074,90,90080,90150,Phaffans,phaffans,47.659184166667,6.946481875
35075,90,90081,90370,Réchésy,rechesy,47.526609444444,7.1242531111111
35076,90,90082,90140,Autrechêne,autrechene,47.59059981982,6.9633383783784
35077,90,90083,90140,Recouvrance,recouvrance,47.573369714286,6.9822982857143
35078,90,90084,90150,Reppe,reppe,47.661455974026,7.027324025974
35079,90,90085,90200,Riervescemont,riervescemont,47.766315194805,6.8774897402597
35080,90,90086,90110,Romagny-sous-Rougemont,romagny sous rougemont,47.719206666667,6.9679382051282
35081,90,90087,90380,Roppe,roppe,47.679978026316,6.9084072368421
35082,90,90088,90200,Rougegoutte,rougegoutte,47.7347,6.8621251764706
35083,90,90089,90110,Rougemont-le-Château,rougemont le chateau,47.749257808219,6.952075890411
35084,90,90090,90100,Saint-Dizier-l'Évêque,saint dizier l eveque,47.469512676056,6.9611153521127
35085,90,90091,90110,Saint-Germain-le-Châtelet,saint germain le chatelet,47.701002151899,6.9607329113924
35086,90,90093,90300,Sermamagny,sermamagny,47.688149816514,6.8336926605505
35087,90,90094,90400,Sevenans,sevenans,47.5899,6.8729454347826
35088,90,90095,90100,Suarce,suarce,47.567141223022,7.0848025179856
35089,90,90096,90100,Thiancourt,thiancourt,47.523987583333,6.9848285
35090,90,90097,90400,Trévenans,trevenans,47.567728902439,6.8684562195122
35091,90,90098,90800,Urcerey,urcerey,47.612044042553,6.8046076595745
35092,90,90099,90300,Valdoie,valdoie,47.6730524,6.8450909333333
35093,90,90100,90150,Vauthiermont,vauthiermont,47.680770714286,7.0226292857143
35094,90,90101,90100,Vellescot,vellescot,47.574981515152,7.0147793939394
35095,90,90102,90200,Vescemont,vescemont,47.752615208333,6.85985375
35096,90,90103,90300,Vétrigne,vetrigne,47.667643064516,6.8956780645161
35097,90,90104,90400,Vézelois,vezelois,47.610787864078,6.9178914563107
35098,90,90105,90100,Villars-le-Sec,villars le sec,47.455564516129,6.9877474193548
