,,,,-VAR,,,
33000,83,83001,83600,Les Adrets-de-l'Estérel,les adrets de l esterel,43.539765887446,6.8088232034632
33001,83,83002,83630,Aiguines,aiguines,43.734978922559,6.3179594612795
33002,83,83003,83111,Ampus,ampus,43.621706053812,6.3839650672646
33003,83,83004,83460,Les Arcs,les arcs,43.449143920455,6.4848569318182
33004,83,83005,83630,Artignosc-sur-Verdon,artignosc sur verdon,43.697300657895,6.1045742105263
33005,83,83006,83560,Artigues,artigues,43.581138842975,5.8009752892562
33006,83,83007,83630,Aups,aups,43.626326871508,6.2105494972067
33007,83,83008,83600,Bagnols-en-Forêt,bagnols en foret,43.537999126638,6.7206267248908
33008,83,83009,83150,Bandol,bandol,43.140736381323,5.7476224124514
33009,83,83010,83840,Bargème,bargeme,43.730696491228,6.5689971929825
33010,83,83011,83830,Bargemon,bargemon,43.635069470199,6.5414313245033
33011,83,83012,83670,Barjols,barjols,43.548448069307,5.981240990099
33012,83,83013,83840,La Bastide,la bastide,43.746402820513,6.63006
33013,83,83014,83630,Baudinard-sur-Verdon,baudinard sur verdon,43.719004534884,6.1326868604651
33014,83,83015,83630,Bauduen,bauduen,43.720725619048,6.1985211428571
33015,83,83016,83330,Le Beausset,le beausset,43.201818757062,5.8140531638418
33016,83,83017,83210,Belgentier,belgentier,43.24329016,5.99722936
33017,83,83018,83890,Besse-sur-Issole,besse sur issole,43.339005063291,6.1774853797468
33018,83,83019,83230,Bormes-les-Mimosas,bormes les mimosas,43.130533783784,6.3421588076312
33019,83,83020,83840,Le Bourguet,le bourguet,43.785346232877,6.4964455479452
33020,83,83021,83149,Bras,bras,43.476098029197,5.9565743065693
33021,83,83022,83840,Brenon,brenon,43.772552105263,6.5444739473684
33022,83,83023,83170,Brignoles,brignoles,43.398374727723,6.0732610148515
33023,83,83025,83119,Brue-Auriac,brue auriac,43.526767076023,5.9508112865497
33024,83,83026,83340,Cabasse,cabasse,43.425415575758,6.233705030303
33025,83,83027,83740,La Cadière-d'Azur,la cadiere d azur,43.188496497696,5.7361877419355
33026,83,83028,83830,Callas,callas,43.568143987342,6.570384335443
33027,83,83029,83440,Callian,callian,43.598388867925,6.7601380377358
33028,83,83030,83170,Camps-la-Source,camps la source,43.372623271028,6.1173987850467
33029,83,83031,83340,Le Cannet-des-Maures,le cannet des maures,43.370166406926,6.389703030303
33030,83,83032,83570,Carcès,carces,43.468485380952,6.1760994761905
33031,83,83033,83660,Carnoules,carnoules,43.292299148936,6.1981780851064
33032,83,83034,83320,Carqueiranne,carqueiranne,43.092026428571,6.0679915
33033,83,83035,83330,Le Castellet,le castellet,43.213097168142,5.7684775663717
33034,83,83036,83240,Cavalaire-sur-Mer,cavalaire sur mer,43.170624934498,6.5219942358079
33035,83,83037,83170,La Celle,la celle,43.388924367089,6.0104866455696
33036,83,83038,83300,Châteaudouble,chateaudouble,43.61804598513,6.4410518215614
33037,83,83039,83670,Châteauvert,chateauvert,43.501718544601,6.007881971831
