,,,,-VAUCLUSE,,,
33158,84,84001,84210,Althen-des-Paluds,althen des paluds,44.013516212121,4.9549915151515
33159,84,84002,84240,Ansouis,ansouis,43.735682815534,5.463959223301
33160,84,84003,84400,Apt,apt,43.878009495413,5.3815902293578
33161,84,84004,84810,Aubignan,aubignan,44.098065375,5.035579125
33162,84,84005,84390,Aurel,aurel,44.144477788462,5.4077570192308
33163,84,84006,84400,Auribeau,auribeau,43.832731805556,5.4446111111111
33164,84,84007,84000,Avignon,avignon,43.9470042,4.8209596
33165,84,84007,84140,Avignon,avignon,43.9253309,4.883185
33166,84,84008,84330,Le Barroux,le barroux,44.159362828947,5.0953444736842
33167,84,84009,84240,La Bastide-des-Jourdans,la bastide des jourdans,43.795507099567,5.6380864069264
33168,84,84010,84120,La Bastidonne,la bastidonne,43.693028173913,5.5808589565217
33169,84,84011,84210,Le Beaucet,le beaucet,43.9744146,5.1327975
33170,84,84012,84190,Beaumes-de-Venise,beaumes de venise,44.126052822581,5.0294243548387
33171,84,84013,84220,Beaumettes,beaumettes,43.86239744186,5.2054839534884
33172,84,84014,84120,Beaumont-de-Pertuis,beaumont de pertuis,43.747714807692,5.6952054487179
33173,84,84015,84340,Beaumont-du-Ventoux,beaumont du ventoux,44.18638755102,5.2126666326531
33174,84,84016,84370,Bédarrides,bedarrides,44.046474166667,4.9093833333333
33175,84,84017,84410,Bédoin,bedoin,44.136494307692,5.2427897948718
33176,84,84018,84570,Blauvac,blauvac,44.034137960526,5.2506739473684
33177,84,84019,84500,Bollène,bollene,44.290284396552,4.7496789655172
33178,84,84020,84480,Bonnieux,bonnieux,43.838383061224,5.323984
33179,84,84021,84390,Brantes,brantes,44.188642941176,5.3312919117647
33180,84,84022,84110,Buisson,buisson,44.273319253731,4.9938885074627
33181,84,84023,84480,Buoux,buoux,43.821838705882,5.3728699411765
33182,84,84024,84240,Cabrières-d'Aigues,cabrieres d aigues,43.789211153846,5.4864568269231
33183,84,84025,84220,Cabrières-d'Avignon,cabrieres d avignon,43.900746705882,5.1531661176471
33184,84,84026,84160,Cadenet,cadenet,43.735932386364,5.3875739772727
33185,84,84027,84860,Caderousse,caderousse,44.108787777778,4.7480106837607
33186,84,84028,84290,Cairanne,cairanne,44.235014591837,4.94131
33187,84,84029,84850,Camaret-sur-Aigues,camaret sur aigues,44.1606475,4.8860928571429
33188,84,84030,84330,Caromb,caromb,44.115757349398,5.1125254216868
33189,84,84031,84200,Carpentras,carpentras,44.062764385965,5.0611544736842
33190,84,84032,84750,Caseneuve,caseneuve,43.886646234568,5.4860529012346
33191,84,84033,84400,Castellet,castellet,43.840456623377,5.4854237662338
33192,84,84034,84510,Caumont-sur-Durance,caumont sur durance,43.899753333333,4.9511777777778
33193,84,84035,84300,Cavaillon,cavaillon,43.838994565217,5.0513779347826
33194,84,84036,84470,Châteauneuf-de-Gadagne,chateauneuf de gadagne,43.931370446429,4.9418524107143
33195,84,84037,84230,Châteauneuf-du-Pape,chateauneuf du pape,44.065246470588,4.8247270588235
33196,84,84038,84460,Cheval-Blanc,cheval blanc,43.797877943925,5.117928411215
33197,84,84039,84350,Courthézon,courthezon,44.091207086614,4.8887560629921
33198,84,84040,84110,Crestet,crestet,44.211023719008,5.0903672727273
33199,84,84041,84410,Crillon-le-Brave,crillon le brave,44.119760930233,5.1468344186046
33200,84,84042,84160,Cucuron,cucuron,43.775833459459,5.4456964864865
33201,84,84043,84320,Entraigues-sur-la-Sorgue,entraigues sur la sorgue,43.99589075,4.928843625
