,,,,-VENDEE,,,
33310,85,85001,85460,L'Aiguillon-sur-Mer,l aiguillon sur mer,46.307300076336,-1.2676967938931
33311,85,85002,85220,L'Aiguillon-sur-Vie,l aiguillon sur vie,46.668768825911,-1.8205309311741
33312,85,85003,85190,Aizenay,aizenay,46.741175919629,-1.6262330139104
33313,85,85004,85750,Angles,angles,46.390078969697,-1.3805117575758
33314,85,85005,85120,Antigny,antigny,46.610927014388,-0.76241503597122
33315,85,85006,85220,Apremont,apremont,46.759671806723,-1.7529291176471
33316,85,85008,85430,Aubigny-Les Clouzeaux,aubigny les clouzeaux,46.618503638498,-1.4655519953052
33317,85,85009,85200,Auchay-sur-Vendée,auchay sur vendee,46.441808264463,-0.86257809917355
33318,85,85010,85440,Avrillé,avrille,46.47115815534,-1.4858525242718
33319,85,85011,85630,Barbâtre,barbatre,46.926099473684,-2.1621816842105
33320,85,85012,85550,La Barre-de-Monts,la barre de monts,46.870784038462,-2.0813840384615
33321,85,85013,85130,Bazoges-en-Paillers,bazoges en paillers,46.91761,-1.1481955844156
33322,85,85014,85390,Bazoges-en-Pareds,bazoges en pareds,46.657520954774,-0.92228472361809
33323,85,85015,85170,Beaufou,beaufou,46.818451319149,-1.5276145531915
33324,85,85016,85190,Beaulieu-sous-la-Roche,beaulieu sous la roche,46.690650921053,-1.6251400657895
33325,85,85017,85500,Beaurepaire,beaurepaire,46.900112943262,-1.099929787234
33326,85,85018,85230,Beauvoir-sur-Mer,beauvoir sur mer,46.901764253394,-2.0608785067873
33327,85,85019,85170,Bellevigny,bellevigny,46.792920421941,-1.4156774683544
33328,85,85020,85490,Benet,benet,46.361922032086,-0.62346197860963
33329,85,85021,85610,La Bernardière,la bernardiere,47.040952727273,-1.2694832535885
33330,85,85022,85560,Le Bernard,le bernard,46.456340076628,-1.4373944827586
33331,85,85023,85320,Bessay,bessay,46.537669,-1.1723657619048
33332,85,85024,85710,Bois-de-Céné,bois de cene,46.952757819767,-1.9002754069767
33333,85,85025,85600,La Boissière-de-Montaigu,la boissiere de montaigu,46.947537028986,-1.1950838405797
33334,85,85026,85430,La Boissière-des-Landes,la boissiere des landes,46.556626432927,-1.4440496036585
33335,85,85027,85600,Boufféré,bouffere,46.95928657754,-1.3512293582888
33336,85,85028,85420,Bouillé-Courdault,bouille courdault,46.386585916667,-0.69583008333333
33337,85,85029,85230,Bouin,bouin,46.986316875,-2.003254125
33338,85,85031,85510,Le Boupère,le boupere,46.782995053191,-0.92838513297872
33339,85,85033,85200,Bourneau,bourneau,46.551753971292,-0.81096100478469
33340,85,85034,85480,Bournezeau,bournezeau,46.640532142857,-1.1493905803571
33341,85,85035,85470,Bretignolles-sur-Mer,bretignolles sur mer,46.632311296296,-1.8639526388889
33342,85,85036,85320,La Bretonnière-la-Claye,la bretonniere la claye,46.492282125,-1.26873075
33343,85,85037,85120,Breuil-Barret,breuil barret,46.648164739583,-0.67813015625
33344,85,85038,85260,Les Brouzils,les brouzils,46.880209798995,-1.3358228643216
33345,85,85039,85530,La Bruffière,la bruffiere,47.017041857708,-1.1844380237154
