,,,,-VIENNE,,,
33577,86,86001,86430,Adriers,adriers,46.269402356688,0.77824936305732
33578,86,86002,86110,Amberre,amberre,46.7569996875,0.15739479166667
33579,86,86003,86700,Anché,anche,46.347742631579,0.26752980263158
33580,86,86004,86260,Angles-sur-l'Anglin,angles sur l anglin,46.698582153846,0.89501353846154
33581,86,86005,86330,Angliers,angliers,46.936927777778,0.10196807407407
33582,86,86006,86310,Antigny,antigny,46.532326860465,0.84708005813953
33583,86,86007,86100,Antran,antran,46.877149253731,0.52326992537313
33584,86,86008,86200,Arçay,arcay,46.955438815789,0.00206473684211
33585,86,86009,86210,Archigny,archigny,46.684607765568,0.67519578754579
33586,86,86010,86340,Aslonnes,aslonnes,46.443862777778,0.32780760683761
33587,86,86011,86430,Asnières-sur-Blour,asnieres sur blour,46.148474192547,0.7948447826087
33588,86,86012,86250,Asnois,asnois,46.104324224138,0.41301413793103
33589,86,86013,86330,Aulnay,aulnay,46.909489583333,0.09235458333333
33590,86,86014,86530,Availles-en-Châtellerault,availles en chatellerault,46.751214747475,0.57394292929293
33591,86,86015,86460,Availles-Limouzine,availles limouzine,46.140367226891,0.63123700280112
33592,86,86016,86170,Avanton,avanton,46.661941698113,0.31410924528302
33593,86,86017,86190,Ayron,ayron,46.637547606838,0.0302202991453
33594,86,86018,86200,Basses,basses,47.041846666667,0.12306814814815
33595,86,86019,86130,Beaumont Saint-Cyr,beaumont saint cyr,46.718685,0.442008
33596,86,86019,86490,Beaumont Saint-Cyr,beaumont saint cyr,46.718685,0.442008
33597,86,86020,86210,Bellefonds,bellefonds,46.64843375,0.61081642857143
33598,86,86021,86470,Benassay,benassay,46.548191235294,0.03198682352941
33599,86,86022,86120,Berrie,berrie,47.06253509434,-0.0787620754717
33600,86,86023,86420,Berthegon,berthegon,46.904079224138,0.26982456896552
33601,86,86024,86190,Béruges,beruges,46.554682760417,0.20334171875
33602,86,86025,86310,Béthines,bethines,46.540292487047,0.97760461139896
33603,86,86026,86120,Beuxes,beuxes,47.087527326733,0.17478
33604,86,86027,86580,Biard,biard,46.58320505618,0.29474876404494
33605,86,86028,86800,Bignoux,bignoux,46.603170982143,0.46404660714286
33606,86,86029,86400,Blanzay,blanzay,46.206222877698,0.25929748201439
33607,86,86031,86300,Bonnes,bonnes,46.610845714286,0.59997837662338
33608,86,86032,86210,Bonneuil-Matours,bonneuil matours,46.682324878049,0.57871969512195
33609,86,86034,86410,Bouresse,bouresse,46.358352481752,0.58153401459854
33610,86,86035,86390,Bourg-Archambault,bourg archambault,46.367710584795,0.99910994152047
33611,86,86036,86120,Bournand,bournand,47.074201138614,0.07669311881188
33612,86,86037,86290,Brigueil-le-Chantre,brigueil le chantre,46.394547336066,1.0932843852459
33613,86,86038,86160,Brion,brion,46.358540839161,0.47495825174825
33614,86,86039,86510,Brux,brux,46.251838666667,0.19105037037037
33615,86,86040,86310,La Bussière,la bussiere,46.631488714286,0.82857685714286
33616,86,86041,86180,Buxerolles,buxerolles,46.607333855422,0.36938048192771
33617,86,86042,37160,Buxeuil,buxeuil,46.970218378378,0.66049797297297
