,,,,-VOSGES,,,
34057,88,88001,88270,Les Ableuvenettes,les ableuvenettes,48.18965984375,6.1883225
34058,88,88002,88500,Ahéville,aheville,48.284621304348,6.1994356521739
34059,88,88003,88140,Aingeville,aingeville,48.204706823529,5.7690138823529
34060,88,88004,88320,Ainvelle,ainvelle,47.988257727273,5.8273373863636
34061,88,88005,88110,Allarmont,allarmont,48.474416066667,7.0163851333333
34062,88,88006,88500,Ambacourt,ambacourt,48.350691025641,6.138955982906
34063,88,88007,88410,Ameuvelle,ameuvelle,47.951511666667,5.9531783333333
34064,88,88008,88700,Anglemont,anglemont,48.378474528302,6.6693817924528
34065,88,88009,88650,Anould,anould,48.1904108,6.944172
34066,88,88010,88170,Aouze,aouze,48.384248266667,5.8687090666667
34067,88,88011,88380,Arches,arches,48.119493607595,6.5062955696203
34068,88,88012,88380,Archettes,archettes,48.132922481203,6.5519787969925
34069,88,88013,88170,Aroffe,aroffe,48.408784117647,5.8989025980392
34070,88,88014,88430,Arrentès-de-Corcieux,arrentes de corcieux,48.137351578947,6.8700916315789
34071,88,88015,88300,Attignéville,attigneville,48.387186949153,5.8234115254237
34072,88,88016,88260,Attigny,attigny,48.057843076923,6.0274116194332
34073,88,88017,88300,Aulnois,aulnois,48.263365342466,5.7793153424658
34074,88,88019,88300,Autigny-la-Tour,autigny la tour,48.414050265487,5.7833659292035
34075,88,88020,88300,Autreville,autreville,48.49032752381,5.8565256190476
34076,88,88021,88700,Autrey,autrey,48.294530576923,6.7122446634615
34077,88,88022,88140,Auzainvilliers,auzainvilliers,48.237513823529,5.8605484313725
34078,88,88023,88500,Avillers,avillers,48.314555909091,6.2041379545455
34079,88,88024,88130,Avrainville,avrainville,48.376682337662,6.2192436363636
34080,88,88025,88630,Avranville,avranville,48.421436363636,5.5334930909091
34081,88,88026,88600,Aydoilles,aydoilles,48.216715214286,6.5655335
34082,88,88027,88330,Badménil-aux-Bois,badmenil aux bois,48.308729130435,6.5219708695652
34083,88,88028,88460,La Baffe,la baffe,48.161560897436,6.5655347435897
34084,88,88029,88240,La Vôge-les-Bains,la voge les bains,48.01901355814,6.252660627907
34085,88,88030,88270,Bainville-aux-Saules,bainville aux saules,48.207702460317,6.1346792063492
34086,88,88031,88170,Balléville,balleville,48.336656486486,5.8476323423423
34087,88,88032,88520,Ban-de-Laveline,ban de laveline,48.2334565,7.067463875
34088,88,88033,88210,Ban-de-Sapt,ban de sapt,48.344776540541,7.0149708648649
34089,88,88035,88640,Barbey-Seroux,barbey seroux,48.133591666667,6.847115625
34090,88,88036,88300,Barville,barville,48.382645272727,5.7747856363636
34091,88,88037,88120,Basse-sur-le-Rupt,basse sur le rupt,47.982168505747,6.758596091954
34092,88,88038,88130,Battexey,battexey,48.389980142857,6.1835822857143
34093,88,88039,88500,Baudricourt,baudricourt,48.310174698795,6.0579737349398
34094,88,88040,88150,Bayecourt,bayecourt,48.271783679245,6.4949003773585
34095,88,88041,88270,Bazegney,bazegney,48.266207403846,6.2289432692308
34096,88,88042,88700,Bazien,bazien,48.4140072,6.679295
34097,88,88043,88500,Bazoilles-et-Ménil,bazoilles et menil,48.25752442623,6.1055493442623
34098,88,88044,88300,Bazoilles-sur-Meuse,bazoilles sur meuse,48.303570119048,5.6590766666667
34099,88,88045,88300,Beaufremont,beaufremont,48.253429747899,5.7435159663865
34100,88,88046,88600,Beauménil,beaumenil,48.172921759259,6.7243712037037
34101,88,88047,88270,Begnécourt,begnecourt,48.207882015504,6.1590156589147
34102,88,88048,88370,Bellefontaine,bellefontaine,48.005534545455,6.4745852727273
34103,88,88049,88260,Belmont-lès-Darney,belmont les darney,48.085139295775,6.0115956338028
34104,88,88050,88600,Belmont-sur-Buttant,belmont sur buttant,48.227006355932,6.761858220339
34105,88,88051,88800,Belmont-sur-Vair,belmont sur vair,48.256337540984,5.9077541803279
34106,88,88052,88260,Belrupt,belrupt,48.09444884058,6.0921052898551
34107,88,88053,88210,Belval,belval,48.41117398374,7.0678694308943
34108,88,88054,88520,Bertrimoutier,bertrimoutier,48.265932608696,7.06114
34109,88,88055,88450,Bettegney-Saint-Brice,bettegney saint brice,48.304929609375,6.3160775
34110,88,88056,88500,Bettoncourt,bettoncourt,48.341762328767,6.1660389041096
34111,88,88057,88490,Le Beulay,le beulay,48.302659361702,7.0669130851064
34112,88,88058,88170,Biécourt,biecourt,48.324825,5.955515
34113,88,88059,88430,Biffontaine,biffontaine,48.209943888889,6.8155837777778
34114,88,88060,88500,Blémerey,blemerey,48.358375,6.0433597058823
34115,88,88061,88410,Bleurville,bleurville,48.0673886,5.957217
34116,88,88062,88320,Blevaincourt,blevaincourt,48.12135513369,5.689643315508
34117,88,88063,88270,Bocquegney,bocquegney,48.218966458333,6.3096309375
34118,88,88064,88600,Bois-de-Champ,bois de champ,48.244556545455,6.7980521212121
34119,88,88065,88260,Bonvillet,bonvillet,48.100848319328,6.0631478151261
34120,88,88066,88500,Boulaincourt,boulaincourt,48.373053333333,6.0866880952381
34121,88,88068,88470,La Bourgonce,la bourgonce,48.305416115108,6.8124869064748
34122,88,88069,88270,Bouxières-aux-Bois,bouxieres aux bois,48.258765681818,6.3176048863636
34123,88,88070,88130,Bouxurulles,bouxurulles,48.3320573,6.2347662
34124,88,88071,88270,Bouzemont,bouzemont,48.252475862069,6.2377946551724
34125,88,88073,88130,Brantigny,brantigny,48.348343559322,6.2788823728814
34126,88,88074,88350,Brechainville,brechainville,48.364775555556,5.4982621296296
34127,88,88075,88250,La Bresse,la bresse,48.015299849246,6.9305591959799
34128,88,88076,88600,Brouvelieures,brouvelieures,48.240681354167,6.7293448958333
34129,88,88077,88700,Brû,bru,48.350991083333,6.69245625
34130,88,88078,88600,Bruyères,bruyeres,48.209725141243,6.716026779661
34131,88,88079,88140,Bulgnéville,bulgneville,48.215840756303,5.8374725210084
34132,88,88080,88700,Bult,bult,48.30006,6.5913924516129
34133,88,88081,88540,Bussang,bussang,47.897218933333,6.8873162666667
34134,88,88082,88110,Celles-sur-Plaine,celles sur plaine,48.45619258427,6.9682244382022
34135,88,88083,88300,Certilleux,certilleux,48.317896296296,5.7326387037037
34136,88,88084,88130,Chamagne,chamagne,48.410177446809,6.30281
34137,88,88085,88640,Champdray,champdray,48.126161569767,6.7560315697674
34138,88,88086,88600,Champ-le-Duc,champ le duc,48.192014285714,6.7286475510204
34139,88,88087,88000,Chantraine,chantraine,48.167602804878,6.423023902439
34140,88,88088,88240,La Chapelle-aux-Bois,la chapelle aux bois,48.027825360231,6.3145424495677
34141,88,88089,88600,La Chapelle-devant-Bruyères,la chapelle devant bruyeres,48.183232692308,6.80396
34142,88,88090,88130,Charmes,charmes,48.383910272109,6.3171116666667
34143,88,88091,88460,Charmois-devant-Bruyères,charmois devant bruyeres,48.170110571429,6.5897568571429
34144,88,88092,88270,Charmois-l'Orgueilleux,charmois l orgueilleux,48.087088644068,6.2714625847458
34145,88,88093,88210,Châtas,chatas,48.364875655738,7.0348909016393
34146,88,88094,88330,Châtel-sur-Moselle,chatel sur moselle,48.320168224299,6.4009426168224
34147,88,88095,88170,Châtenois,chatenois,48.31083521327,5.8245854028436
34148,88,88096,88410,Châtillon-sur-Saône,chatillon sur saone,47.950746212121,5.8782562121212
34149,88,88097,88500,Chauffecourt,chauffecourt,48.333289,6.1547123333333
34150,88,88098,88390,Chaumousey,chaumousey,48.176779072848,6.3366185430464
34151,88,88099,88150,Chavelot,chavelot,48.231815692308,6.4256596923077
34152,88,88100,88500,Chef-Haut,chef haut,48.35419984127,6.0091123809524
34153,88,88101,88460,Cheniménil,chenimenil,48.134323354839,6.6006958709677
34154,88,88102,88630,Chermisey,chermisey,48.41446625,5.5656865625
34155,88,88103,88270,Circourt,circourt,48.250222105263,6.2834077631579
34156,88,88104,88300,Circourt-sur-Mouzon,circourt sur mouzon,48.305125633803,5.7028761971831
34157,88,88105,88410,Claudon,claudon,48.036227344398,6.0427349377593
34158,88,88106,88230,Ban-sur-Meurthe-Clefcy,ban sur meurthe clefcy,48.139569238579,6.9823405076142
34159,88,88107,88630,Clérey-la-Côte,clerey la cote,48.480712222222,5.7594553333333
34160,88,88108,88240,Le Clerjus,le clerjus,47.979764593496,6.3385943089431
34161,88,88109,88120,Cleurie,cleurie,48.051718067227,6.6721764705882
34162,88,88110,88700,Clézentaine,clezentaine,48.407052521008,6.5268937815126
34163,88,88111,88100,Coinches,coinches,48.245865833333,7.0255446969697
34164,88,88113,88490,Combrimont,combrimont,48.274524065041,7.0714476422764
34165,88,88114,88140,Contrexéville,contrexeville,48.187809565217,5.8912511304348
34166,88,88115,88430,Corcieux,corcieux,48.165109752475,6.8789582178218
34167,88,88116,88310,Cornimont,cornimont,47.967177010309,6.8794671649484
34168,88,88117,88170,Courcelles-sous-Châtenois,courcelles sous chatenois,48.327824716981,5.8165847169811
34169,88,88118,88630,Coussey,coussey,48.414673469388,5.6694606122449
34170,88,88119,88140,Crainvilliers,crainvilliers,48.147561086957,5.833057173913
34171,88,88120,88520,La Croix-aux-Mines,la croix aux mines,48.20825288,7.05471656
34172,88,88121,88330,Damas-aux-Bois,damas aux bois,48.384737412935,6.4118279104478
34173,88,88122,88270,Damas-et-Bettegney,damas et bettegney,48.2133174375,6.26232525
34174,88,88123,88320,Damblain,damblain,48.090532282158,5.672667593361
34175,88,88124,88260,Darney,darney,48.077427714286,6.0528442857143
34176,88,88125,88170,Darney-aux-Chênes,darney aux chenes,48.28324012987,5.811421038961
34177,88,88126,88390,Darnieulles,darnieulles,48.1947662,6.3432350666667
34178,88,88127,88700,Deinvillers,deinvillers,48.413567477477,6.5654224324324
34179,88,88128,88210,Denipaire,denipaire,48.341513737374,6.9610127272727
34180,88,88129,88270,Derbamont,derbamont,48.266679019608,6.2696506862745
34181,88,88130,88600,Destord,destord,48.274371262136,6.6226298058252
34182,88,88131,88600,Deycimont,deycimont,48.17136015625,6.642050859375
34183,88,88132,88000,Deyvillers,deyvillers,48.197795054945,6.5240379120879
34184,88,88133,88000,Dignonville,dignonville,48.242062151899,6.5008426582278
34185,88,88134,88000,Dinozé,dinoze,48.136219662921,6.4848919101124
34186,88,88135,88460,Docelles,docelles,48.141237828947,6.6263606578947
34187,88,88136,88000,Dogneville,dogneville,48.219345882353,6.4676667647059
34188,88,88137,88170,Dolaincourt,dolaincourt,48.339145,5.8104169565217
34189,88,88138,88260,Dombasle-devant-Darney,dombasle devant darney,48.12934752809,6.0799762921348
34190,88,88139,88500,Dombasle-en-Xaintois,dombasle en xaintois,48.305869042553,5.9955023404255
34191,88,88140,88140,Dombrot-le-Sec,dombrot le sec,48.145224196429,5.8992522321429
34192,88,88141,88170,Dombrot-sur-Vair,dombrot sur vair,48.268315098039,5.8983706535948
34193,88,88142,88390,Domèvre-sur-Avière,domevre sur aviere,48.22384475,6.3878416666667
34194,88,88143,88330,Domèvre-sur-Durbion,domevre sur durbion,48.2943075,6.4887086363636
34195,88,88144,88500,Domèvre-sous-Montfort,domevre sous montfort,48.257528392857,6.0765219642857
34196,88,88145,88600,Domfaing,domfaing,48.23780453125,6.75315234375
34197,88,88146,88800,Domjulien,domjulien,48.253092301587,5.9966127777778
34198,88,88147,88390,Dommartin-aux-Bois,dommartin aux bois,48.145972311558,6.2895720603015
34199,88,88148,88200,Dommartin-lès-Remiremont,dommartin les remiremont,47.988544803493,6.6447101310044
34200,88,88149,88260,Dommartin-lès-Vallois,dommartin les vallois,48.152385465116,6.0877481395349
34201,88,88150,88170,Dommartin-sur-Vraine,dommartin sur vraine,48.342498378378,5.9166131081081
34202,88,88151,88270,Dompaire,dompaire,48.229462315789,6.2097282105263
34203,88,88152,88600,Dompierre,dompierre,48.248371582278,6.5636120886076
34204,88,88153,88700,Domptail,domptail,48.44396248366,6.6171232026144
34205,88,88154,88630,Domrémy-la-Pucelle,domremy la pucelle,48.442259450549,5.6588403296703
34206,88,88155,88500,Domvallier,domvallier,48.303797788462,6.0809924038461
34207,88,88156,88700,Doncières,doncieres,48.39125647619,6.6388677142857
34208,88,88157,88220,Dounoux,dounoux,48.112827373737,6.4435745454545
34209,88,88158,88510,Éloyes,eloyes,48.09459691358,6.6248656790123
34210,88,88159,88650,Entre-deux-Eaux,entre deux eaux,48.23898868932,6.9949422815534
34211,88,88160,88000,Épinal,epinal,48.166885992908,6.4747165602837
34212,88,88161,88260,Escles,escles,48.11938902834,6.1653378947368
34213,88,88162,88260,Esley,esley,48.1733275,6.0618225
34214,88,88163,88130,Essegney,essegney,48.380060991736,6.3445385950413
34215,88,88164,88500,Estrennes,estrennes,48.261032631579,6.0555356578947
34216,88,88165,88480,Étival-Clairefontaine,etival clairefontaine,48.363654354839,6.8383824731183
34217,88,88166,88450,Évaux-et-Ménil,evaux et menil,48.32141704918,6.3005465573771
34218,88,88167,88460,Faucompierre,faucompierre,48.139456447368,6.6651419736842
34219,88,88168,88700,Fauconcourt,fauconcourt,48.372377654321,6.5393285185185
34220,88,88169,88600,Fays,fays,48.194208426966,6.6710128089888
34221,88,88170,88360,Ferdrupt,ferdrupt,47.908213687151,6.7184660335196
34222,88,88171,88410,Fignévelle,fignevelle,47.984274615385,5.9055153846154
34223,88,88172,88600,Fiménil,fimenil,48.17876,6.7094166666667
34224,88,88173,88130,Florémont,floremont,48.370682698413,6.2560984920635
34225,88,88174,88390,Fomerey,fomerey,48.218864910714,6.3397923214286
34226,88,88175,88600,Fontenay,fontenay,48.221859527027,6.5907219594595
34227,88,88176,88240,Fontenoy-le-Château,fontenoy le chateau,47.975063316326,6.1987246683674
34228,88,88177,88530,La Forge,la forge,48.069987560976,6.7197254878049
34229,88,88178,88390,Les Forges,les forges,48.172694117647,6.3914364705882
34230,88,88179,88320,Fouchécourt,fouchecourt,48.004961834862,5.8639197247706
34231,88,88180,88320,Frain,frain,48.077586376812,5.8881991304348
34232,88,88181,88230,Fraize,fraize,48.185517823129,7.0097408163265
34233,88,88182,88490,Frapelle,frapelle,48.293770431034,7.0533515517241
34234,88,88183,88630,Frebécourt,frebecourt,48.384788309859,5.6708132394366
34235,88,88184,88600,Fremifontaine,fremifontaine,48.26412254386,6.7013850877193
34236,88,88185,88500,Frenelle-la-Grande,frenelle la grande,48.352666979167,6.092731875
34237,88,88186,88500,Frenelle-la-Petite,frenelle la petite,48.349057356322,6.0645240229885
34238,88,88187,88270,Frénois,frenois,48.187088977273,6.1252875
34239,88,88188,88160,Fresse-sur-Moselle,fresse sur moselle,47.873563506493,6.8026477922078
34240,88,88189,88350,Fréville,freville,48.328234473684,5.6235107894737
34241,88,88190,88440,Frizon,frizon,48.28592815126,6.3543723529412
34242,88,88192,88270,Gelvécourt-et-Adompt,gelvecourt et adompt,48.199196,6.1745713333333
34243,88,88193,88520,Gemaingoutte,gemaingoutte,48.247117916667,7.1054592708333
34244,88,88194,88170,Gemmelaincourt,gemmelaincourt,48.276916019417,5.972120776699
34245,88,88195,88140,Gendreville,gendreville,48.236916024096,5.7192728915663
34246,88,88196,88400,Gérardmer,gerardmer,48.070166507937,6.8501042857143
34247,88,88197,88120,Gerbamont,gerbamont,48.005565714286,6.7649004081633
34248,88,88198,88430,Gerbépal,gerbepal,48.131268013699,6.9105473972603
34249,88,88199,88320,Gignéville,gigneville,48.111334159292,5.9188195575221
34250,88,88200,88390,Gigney,gigney,48.229759482759,6.3380212931035
34251,88,88201,88390,Girancourt,girancourt,48.149130764331,6.3248447770701
34252,88,88202,88500,Gircourt-lès-Viéville,gircourt les vieville,48.342800490196,6.1930864705882
34253,88,88203,88600,Girecourt-sur-Durbion,girecourt sur durbion,48.245385538462,6.5988084615385
34254,88,88205,88340,Girmont-Val-d'Ajol,girmont val d ajol,47.952104751131,6.5600655656109
34255,88,88206,88170,Gironcourt-sur-Vraine,gironcourt sur vraine,48.305281145833,5.9295594791667
34256,88,88208,88410,Godoncourt,godoncourt,48.003117005988,5.9317132934132
34257,88,88209,88190,Golbey,golbey,48.19844525641,6.424443974359
34258,88,88210,88270,Gorhey,gorhey,48.189906179775,6.2936234831461
34259,88,88212,88350,Grand,grand,48.391008834356,5.4810817791411
34260,88,88213,88490,La Grande-Fosse,la grande fosse,48.339271410256,7.0830030769231
34261,88,88214,88240,Grandrupt-de-Bains,grandrupt de bains,48.065659253731,6.1823876119403
34262,88,88215,88210,Grandrupt,grandrupt,48.371403043478,7.0594786956522
34263,88,88216,88600,Grandvillers,grandvillers,48.239896196319,6.6707058282209
34264,88,88218,88640,Granges-Aumontzey,granges aumontzey,48.13268204918,6.8003007786885
34265,88,88219,88630,Greux,greux,48.45983637931,5.6697619827586
34266,88,88220,88410,Grignoncourt,grignoncourt,47.962459736842,5.9052511403509
34267,88,88221,88240,Gruey-lès-Surance,gruey les surance,48.032023092105,6.1743768421053
34268,88,88222,88600,Gugnécourt,gugnecourt,48.250240212766,6.6218626595745
34269,88,88223,88450,Gugney-aux-Aulx,gugney aux aulx,48.299479583333,6.2728645833333
34270,88,88224,88330,Hadigny-les-Verrières,hadigny les verrieres,48.317465396825,6.4855831746032
34271,88,88225,88220,Hadol,hadol,48.078300156863,6.4297751372549
34272,88,88226,88270,Hagécourt,hagecourt,48.228540347826,6.1537606956522
34273,88,88227,88300,Hagnéville-et-Roncourt,hagneville et roncourt,48.244639609375,5.787880078125
34274,88,88228,88330,Haillainville,haillainville,48.395490615385,6.4911299230769
34275,88,88229,88300,Harchéchamp,harchechamp,48.397079855072,5.7921928985507
34276,88,88230,88700,Hardancourt,hardancourt,48.379568333333,6.563666
34277,88,88231,88800,Haréville,hareville,48.205824705882,6.0184935294118
34278,88,88232,88300,Harmonville,harmonville,48.464688490566,5.8756602830189
34279,88,88233,88270,Harol,harol,48.140778333333,6.2552190476191
34280,88,88236,88240,La Haye,la haye,48.066002671756,6.1997228244275
34281,88,88237,88270,Hennecourt,hennecourt,48.213614360902,6.2906213533835
34282,88,88238,88260,Hennezel,hennezel,48.060045294118,6.1077945490196
34283,88,88239,88130,Hergugney,hergugney,48.390504683544,6.2083126582279
34284,88,88240,88600,Herpelmont,herpelmont,48.170125203252,6.7376130894309
34285,88,88241,88170,Houécourt,houecourt,48.296502719298,5.8944680701754
34286,88,88242,88300,Houéville,houeville,48.371245857143,5.8111775714286
34287,88,88243,88700,Housseras,housseras,48.311419166667,6.7242554487179
34288,88,88244,88430,La Houssière,la houssiere,48.204757971014,6.8616137681159
34289,88,88245,88210,Hurbache,hurbache,48.3445324375,6.927961125
34290,88,88246,88500,Hymont,hymont,48.262994234234,6.1416100900901
34291,88,88247,88150,Igney,igney,48.276542394366,6.3864473239437
34292,88,88248,88320,Isches,isches,48.019424233129,5.8262014723926
34293,88,88249,88300,Jainvillotte,jainvillotte,48.25788,5.703255
34294,88,88250,88550,Jarménil,jarmenil,48.1151779,6.5951453
34295,88,88251,88700,Jeanménil,jeanmenil,48.32782982684,6.7038212121212
34296,88,88252,88260,Jésonville,jesonville,48.128286883117,6.1139538961039
34297,88,88253,88000,Jeuxey,jeuxey,48.202881363636,6.4907581818182
34298,88,88254,88500,Jorxey,jorxey,48.304296666667,6.2375029885058
34299,88,88255,88630,Jubainville,jubainville,48.455198607595,5.7493083544304
34300,88,88256,88640,Jussarupt,jussarupt,48.158452857143,6.7526152941176
34301,88,88257,88500,Juvaincourt,juvaincourt,48.330568188406,6.064235942029
34302,88,88258,88320,Lamarche,lamarche,48.065463744681,5.7640799574468
34303,88,88259,88300,Landaville,landaville,48.282989411765,5.7487507843137
34304,88,88260,88130,Langley,langley,48.360222321429,6.3295641071429
34305,88,88261,88600,Laval-sur-Vologne,laval sur vologne,48.196657086614,6.6922173228346
34306,88,88262,88600,Laveline-devant-Bruyères,laveline devant bruyeres,48.182981428571,6.758192755102
34307,88,88263,88640,Laveline-du-Houx,laveline du houx,48.136468947368,6.70532125
34308,88,88264,88270,Légéville-et-Bonfays,legeville et bonfays,48.188214059406,6.1524953465347
34309,88,88265,88300,Lemmecourt,lemmecourt,48.263290512821,5.7346364102564
34310,88,88266,88600,Lépanges-sur-Vologne,lepanges sur vologne,48.176021333333,6.670766969697
34311,88,88267,88260,Lerrain,lerrain,48.133898106509,6.1470640828402
34312,88,88268,88490,Lesseux,lesseux,48.281759417476,7.0853763106796
34313,88,88269,88400,Liézey,liezey,48.096140152284,6.800546142132
34314,88,88270,88350,Liffol-le-Grand,liffol le grand,48.32497944,5.57550656
34315,88,88271,88800,Lignéville,ligneville,48.165724166667,5.9537538888889
34316,88,88272,88410,Lironcourt,lironcourt,47.970673695652,5.8825370652174
34317,88,88273,88000,Longchamp,longchamp,48.218411984127,6.5266781746032
34318,88,88274,88170,Longchamp-sous-Châtenois,longchamp sous chatenois,48.285943010753,5.8368077419355
34319,88,88275,88490,Lubine,lubine,48.318122340426,7.166839787234
34320,88,88276,88490,Lusse,lusse,48.287393235294,7.112114
34321,88,88277,88110,Luvigny,luvigny,48.499432574257,7.0753674257426
34322,88,88278,88170,Maconcourt,maconcourt,48.361787058824,5.939377254902
34323,88,88279,88270,Madecourt,madecourt,48.239642105263,6.1130364912281
34324,88,88280,88450,Madegney,madegney,48.287867460317,6.2906773015873
